"","dep","Gendarmerie","Cour d'appel","Tribunal de grande instance (TGI)","Tribunal d'instance","Conseil de prud'hommes","Tribunal de commerce","Bureau de poste","Agence postale communale ","Taxi","Aeroport","Gare avec desserte train a grande vitesse (TAGV)","Gare sans desserte train a grande vitesse (TAGV)","Etablissement sante court sejour","Etablissement sante moyen sejour","Etablissement sante long sejour","Etablissement psychiatrique avec hebergement","Urgences","Maternite","Structures psychiatriques en ambulatoire"
"1","01",7.58680025891974e-05,0,1.61421282104675e-06,6.45685128418701e-06,4.84263846314026e-06,1.61421282104675e-06,0.000150121792357348,7.26395769471039e-05,0.000334142053956678,0,4.84263846314026e-06,5.64974487366363e-05,1.9370553852561e-05,3.38984692419818e-05,9.68527692628052e-06,1.45279153894208e-05,8.07106410523376e-06,2.49841820192763e-05,6.29543000208234e-05
"2","02",7.40648845421031e-05,0,5.55486634065773e-06,5.55486634065773e-06,5.55486634065773e-06,3.70324422710516e-06,0.000175904100787495,0.000125910303721575,0.000268485206465124,0,0,8.88778614505237e-05,2.77743317032887e-05,2.59227095897361e-05,1.2961354794868e-05,3.70324422710516e-05,1.48129769084206e-05,4.82278551761645e-05,4.44389307252619e-05
"3","03",8.44419985382799e-05,0,8.7353791591324e-06,8.7353791591324e-06,8.7353791591324e-06,5.82358610608827e-06,0.000273708546986149,0.000200913720660045,0.000358150545524429,0,0,6.4059447166971e-05,2.91179305304413e-05,2.91179305304413e-05,1.45589652652207e-05,3.20297235834855e-05,1.16471722121765e-05,5.09476767733324e-05,1.16471722121765e-05
"4","04",0.000179105215049779,0,6.17604189826824e-06,1.23520837965365e-05,6.17604189826824e-06,6.17604189826824e-06,0.000333506262506485,0.000253217717828998,0.0005249635613528,0,0,2.4704167593073e-05,5.55843770844141e-05,8.64645865757553e-05,1.23520837965365e-05,6.17604189826824e-06,1.85281256948047e-05,5.10270720542441e-05,6.17604189826824e-06
"5","05",0.000157956332253965,0,7.17983328427114e-06,7.17983328427114e-06,7.17983328427114e-06,7.17983328427114e-06,0.000323092497792201,0.00031591266450793,0.00063182532901586,0,0,7.17983328427114e-05,5.0258832989898e-05,0.000143596665685423,2.87193331370846e-05,3.58991664213557e-05,2.15394998528134e-05,5.32491271217139e-05,1.43596665685423e-05
"6","06",3.70106155698108e-05,0,1.85053077849054e-06,5.55159233547162e-06,2.77579616773581e-06,3.70106155698108e-06,0.000127686623715847,5.73664541332068e-05,0.00105572780912885,2.77579616773581e-06,3.70106155698108e-06,3.70106155698108e-05,2.96084924558486e-05,3.4234819402075e-05,7.40212311396216e-06,1.57295116171696e-05,1.0177919281698e-05,3.20512237724455e-05,2.77579616773581e-05
"7","07",0.000109245612228017,0,3.12130320651478e-06,9.36390961954435e-06,6.24260641302957e-06,3.12130320651478e-06,0.000230976437282094,0.00028715989499936,0.000405769416846922,0,0,0,5.61834577172661e-05,5.93047609237809e-05,6.24260641302957e-06,2.80917288586331e-05,1.24852128260591e-05,5.33433318776681e-05,9.36390961954435e-05
"8","08",0.000124596396672208,0,3.55989704777738e-06,7.11979409555476e-06,3.55989704777738e-06,3.55989704777738e-06,0.000206474028771088,0.000113916705528876,0.000416507954589953,0,1.06796911433321e-05,8.18776320988797e-05,3.20390734299964e-05,3.55989704777738e-05,1.06796911433321e-05,8.18776320988797e-05,1.42395881911095e-05,3.16392177650092e-05,4.62786616211059e-05
"9","09",0.00013098949464253,0,6.54947473212648e-06,1.3098949464253e-05,6.54947473212648e-06,6.54947473212648e-06,0.000412616908123968,0.000235781090356553,0.000340572686070577,0,0,7.85936967855178e-05,2.61978989285059e-05,5.23957978570119e-05,0,2.61978989285059e-05,1.96484241963794e-05,2.71587718127029e-05,7.20442220533913e-05
"10","10",9.13298606241091e-05,0,3.26178073657533e-06,3.26178073657533e-06,3.26178073657533e-06,3.26178073657533e-06,0.000150041913882465,8.15445184143831e-05,0.000260942458926026,0,0,1.63089036828766e-05,3.58795881023286e-05,1.9570684419452e-05,1.63089036828766e-05,5.54502725217805e-05,9.78534220972598e-06,4.26619853853445e-05,0
"11","11",9.3182086018028e-05,0,5.48129917753106e-06,5.48129917753106e-06,5.48129917753106e-06,5.48129917753106e-06,0.000326137301063098,0.00028228690764285,0.00046591043009014,2.74064958876553e-06,5.48129917753106e-06,4.38503934202485e-05,2.46658462988898e-05,3.56284446539519e-05,1.09625983550621e-05,4.6591043009014e-05,1.64438975325932e-05,4.67926985169995e-05,4.6591043009014e-05
"12","12",0.000158421545330165,0,3.60048966659466e-06,7.20097933318931e-06,7.20097933318931e-06,3.60048966659466e-06,0.000288039173327573,0.000342046518326492,0.000255634766328221,3.60048966659466e-06,0,7.20097933318931e-05,3.60048966659466e-05,4.68063656657305e-05,2.88039173327573e-05,5.76078346655145e-05,1.80024483329733e-05,8.01888728739965e-05,4.68063656657305e-05
"13","13",1.75599055958042e-05,5.01711588451549e-07,1.50513476535465e-06,3.01026953070929e-06,2.00684635380619e-06,2.00684635380619e-06,0.000106362856751728,5.01711588451549e-06,0.000769625576684675,5.01711588451549e-07,2.00684635380619e-06,2.1071886714965e-05,2.45838678341259e-05,2.80958489532867e-05,5.01711588451549e-06,2.5587291011029e-05,1.0034231769031e-05,2.99056519676136e-05,4.26454850183816e-05
"14","14",5.79756357390807e-05,1.44939089347702e-06,2.89878178695403e-06,4.34817268043105e-06,2.89878178695403e-06,2.89878178695403e-06,0.000173926907217242,6.81213719934198e-05,0.000256542188145432,2.89878178695403e-06,0,3.18865996564944e-05,2.46396451891093e-05,2.75384269760633e-05,1.01457362543391e-05,4.05829450173565e-05,1.73926907217242e-05,4.66973701873579e-05,0.000121748835052069
"15","15",0.000183629748019179,0,6.80110177848811e-06,1.36022035569762e-05,6.80110177848811e-06,6.80110177848811e-06,0.000292447376474989,0.000394463903152311,0.000510082633386608,6.80110177848811e-06,0,0.000102016526677322,4.76077124494168e-05,6.1209916006393e-05,2.72044071139525e-05,2.72044071139525e-05,2.04033053354643e-05,6.14549619545449e-05,1.36022035569762e-05
"16","16",8.48699509451684e-05,0,2.82899836483894e-06,5.65799672967789e-06,2.82899836483894e-06,2.82899836483894e-06,0.000203687882268404,0.0002687548446597,0.000265925846294861,0,5.65799672967789e-06,3.39479803780673e-05,2.82899836483895e-05,3.11189820132284e-05,1.69739901890337e-05,3.67769787429063e-05,1.41449918241947e-05,3.66795849363198e-05,5.0921970567101e-05
"17","17",6.78857687747566e-05,0,3.15747761743054e-06,6.31495523486108e-06,4.73621642614581e-06,3.15747761743054e-06,0.000178397485384825,0.000175240007767395,0.000315747761743054,1.57873880871527e-06,3.15747761743054e-06,3.94684702178817e-05,2.52598209394443e-05,3.47322537917359e-05,6.31495523486108e-06,3.47322537917359e-05,1.7366126895868e-05,4.03245992866072e-05,6.31495523486108e-05
"18","18",8.66356489651853e-05,3.20872773945131e-06,3.20872773945131e-06,6.41745547890261e-06,3.20872773945131e-06,3.20872773945131e-06,0.000218193486282689,0.000240654580458848,0.00039146478421306,0,3.20872773945131e-06,5.13396438312209e-05,1.60436386972565e-05,2.24610941761592e-05,1.92523664367078e-05,1.60436386972565e-05,9.62618321835392e-06,5.42447327716488e-05,0
"19","19",0.000120441396954079,0,4.15315161910616e-06,8.30630323821232e-06,8.30630323821232e-06,4.15315161910616e-06,0.000340558432766705,0.000294873764956537,0.000423621465148828,4.15315161910616e-06,4.15315161910616e-06,0.000120441396954079,3.32252129528493e-05,2.49189097146369e-05,2.49189097146369e-05,3.73783645719554e-05,1.66126064764246e-05,6.96156986728641e-05,5.39909710483801e-05
"20","21",6.9842815911326e-05,1.88764367327908e-06,1.88764367327908e-06,5.66293101983725e-06,1.88764367327908e-06,1.88764367327908e-06,0.000156674424882164,0.00014346091916921,0.000379416378329095,1.88764367327908e-06,5.66293101983725e-06,7.17304595846051e-05,3.58652297923026e-05,2.83146550991862e-05,1.13258620396745e-05,5.09663791785352e-05,1.32135057129536e-05,2.94515020668076e-05,0
"21","22",7.53661538976863e-05,0,1.67480341994858e-06,5.02441025984575e-06,5.02441025984575e-06,1.67480341994858e-06,0.000209350427493573,0.000122260649656247,0.000283041777971311,3.34960683989717e-06,8.37401709974292e-06,5.52685128583033e-05,2.34472478792802e-05,2.51220512992288e-05,1.00488205196915e-05,5.35937094383547e-05,1.00488205196915e-05,3.82542317606307e-05,2.34472478792802e-05
"22","23",0.000206830366007016,0,8.27321464028063e-06,8.27321464028063e-06,8.27321464028063e-06,8.27321464028063e-06,0.000512939307697399,0.000413660732014031,0.000637037527301608,0,8.27321464028063e-06,9.10053610430869e-05,4.96392878416838e-05,5.79125024819644e-05,4.13660732014031e-05,0.000140644648884771,1.65464292805613e-05,3.83379436844477e-05,3.30928585611225e-05
"23","24",0.000117531643596085,0,4.79720994269733e-06,7.19581491404599e-06,4.79720994269733e-06,4.79720994269733e-06,0.000280636781647794,0.000261447941877004,0.000400567030215227,4.79720994269733e-06,0,0.000110335828682039,3.11818646275326e-05,4.07762845129273e-05,9.59441988539465e-06,2.39860497134866e-05,9.59441988539465e-06,3.18811296353718e-05,1.19930248567433e-05
"24","25",6.75016875421885e-05,1.8750468761719e-06,3.75009375234381e-06,5.62514062851571e-06,3.75009375234381e-06,1.8750468761719e-06,0.000170629265731643,7.50018750468762e-05,0.000255006375159379,1.8750468761719e-06,5.62514062851571e-06,6.00015000375009e-05,2.25005625140629e-05,2.62506562664067e-05,1.31253281332033e-05,3.75009375234381e-05,9.37523438085952e-06,3.92140473062563e-05,1.50003750093752e-05
"25","26",7.27696114102751e-05,0,2.02137809472986e-06,6.06413428418959e-06,4.04275618945973e-06,2.02137809472986e-06,0.000212244699946636,9.29833923575737e-05,0.000307249470398939,0,6.06413428418959e-06,2.62779152314882e-05,2.62779152314882e-05,2.62779152314882e-05,8.08551237891945e-06,2.42565371367584e-05,1.21282685683792e-05,2.54023646800957e-05,4.64916961787869e-05
"26","27",6.0499829424092e-05,0,1.68055081733589e-06,5.04165245200767e-06,5.04165245200767e-06,3.36110163467178e-06,0.000154610675194902,5.71387277894203e-05,0.000364679527361888,0,0,3.52915671640537e-05,2.52082622600383e-05,3.19304655293819e-05,8.40275408667945e-06,3.36110163467178e-05,1.34444065386871e-05,2.75372419390471e-05,7.39442359627792e-05
"27","28",6.00507659937131e-05,0,2.30964484591204e-06,4.61928969182409e-06,6.92893453773613e-06,2.30964484591204e-06,0.000131649756216987,9.70050835283058e-05,0.000450380744952849,0,0,6.92893453773613e-05,2.30964484591204e-05,3.00253829968566e-05,9.23857938364818e-06,2.07868036132084e-05,1.15482242295602e-05,2.71969444295041e-05,1.61675139213843e-05
"28","29",5.08894029456114e-05,0,2.21258273676571e-06,3.31887410514857e-06,3.31887410514857e-06,2.21258273676571e-06,0.000159305957047131,0.00010067251452284,0.00041817813724872,3.31887410514857e-06,6.63774821029714e-06,1.65943705257428e-05,2.54447014728057e-05,3.31887410514857e-05,1.32754964205943e-05,7.85466871551828e-05,1.32754964205943e-05,3.64014167813503e-05,2.65509928411886e-05
"29","2A",0.000147419488856427,0,6.70088585711031e-06,6.70088585711031e-06,6.70088585711031e-06,6.70088585711031e-06,0.000381950493855288,0.000187624803999089,0.000770601873567686,1.34017717142206e-05,0,0,4.02053151426618e-05,6.03079727139928e-05,2.01026575713309e-05,6.70088585711031e-06,3.35044292855515e-05,4.97400968550424e-05,6.03079727139928e-05
"30","2B",0.000134523377823529,5.84884251406647e-06,5.84884251406647e-06,5.84884251406647e-06,5.84884251406647e-06,5.84884251406647e-06,0.000421116661012785,0.000175465275421994,0.000684314574145776,1.16976850281329e-05,0,0,4.09418975984653e-05,1.75465275421994e-05,1.75465275421994e-05,2.92442125703323e-05,1.75465275421994e-05,4.82595168744689e-05,5.26395826265982e-05
"31","30",6.13747117093403e-05,1.36388248242978e-06,2.72776496485957e-06,4.09164744728935e-06,2.72776496485957e-06,1.36388248242978e-06,0.00018821578257531,8.1832948945787e-05,0.000432350746930242,1.36388248242978e-06,1.36388248242978e-06,4.63720044026127e-05,2.72776496485957e-05,3.00054146134552e-05,1.36388248242978e-05,2.31860022013063e-05,8.1832948945787e-06,3.37789260864537e-05,1.22749423418681e-05
"32","31",4.08143777501575e-05,7.70082599059575e-07,7.70082599059575e-07,2.31024779717873e-06,1.54016519811915e-06,7.70082599059575e-07,0.000133994372236366,3.0803303962383e-05,0.000410454025298754,7.70082599059575e-07,7.70082599059575e-07,3.85041299529788e-05,2.31024779717873e-05,2.77229735661447e-05,6.1606607924766e-06,3.54237995567405e-05,7.70082599059575e-06,2.57282279832739e-05,4.00442951510979e-05
"33","32",0.000147154659547184,0,5.25552355525657e-06,1.05110471105131e-05,5.25552355525657e-06,5.25552355525657e-06,0.000273287224873342,0.000162921230212954,0.000299564842649625,0,0,2.10220942210263e-05,4.72997119973092e-05,6.30662826630789e-05,2.62776177762829e-05,2.10220942210263e-05,1.05110471105131e-05,2.34235609567938e-05,7.88328533288486e-05
"34","33",4.11818664286089e-05,6.64223652074337e-07,1.32844730414867e-06,1.99267095622301e-06,1.32844730414867e-06,1.32844730414867e-06,0.000160077900149915,7.30646017281771e-05,0.00049152550253501,6.64223652074337e-07,3.32111826037169e-06,4.18460900806832e-05,2.52404987788248e-05,2.19193805184531e-05,3.32111826037169e-06,3.91891954723859e-05,9.96335478111506e-06,3.02932327981672e-05,1.72698149539328e-05
"35","34",3.84498837806489e-05,9.15473423348784e-07,1.83094684669757e-06,2.74642027004635e-06,2.74642027004635e-06,1.83094684669757e-06,0.000167531636472827,6.774503332781e-05,0.000358865581952723,1.83094684669757e-06,3.66189369339513e-06,1.73939950436269e-05,3.29570432405562e-05,3.11260963938586e-05,8.23926081013905e-06,1.64785216202781e-05,1.09856810801854e-05,2.95035107115142e-05,2.92951495471611e-05
