"","dep","Gendarmerie","Cour_appel","Tribunal_gd_instance","Tribunal_instance","Prudhommes","Tribunal_commerce","Bureau_poste","Agence_postale_communale","Taxi","Aeroport","Gare_TGV","Gare_sans_TGV","Sante_court_sejour","Sante_moyen_sejour","Sante_long_sejour","Etablissement_psychiatrique","Urgences","Maternite","Structure_psychiatrique_ambulatoire","College","Lycee_professionnel","Lycee_general_techno","Total_education","Total_loisir","Natation","Boulodrome","Tennis","Cyclisme","Athletisme","Golf","Parcours_sportif","Sports_de_glace","Skate_park"
"1","01",7.58680025891974e-05,0,1.61421282104675e-06,6.45685128418701e-06,4.84263846314026e-06,1.61421282104675e-06,0.000150121792357348,7.26395769471039e-05,0.000334142053956678,0,4.84263846314026e-06,5.64974487366363e-05,1.9370553852561e-05,3.38984692419818e-05,9.68527692628052e-06,1.45279153894208e-05,8.07106410523376e-06,2.49841820192763e-05,6.29543000208234e-05,0.000103309620546992,1.9370553852561e-05,2.5827405136748e-05,0.000150121792357348,0.00132688293890043,5.97258743787298e-05,0.000632771425850327,0.000347055756525052,1.61421282104675e-06,0.000125908600041647,2.74416179577948e-05,4.03553205261688e-05,1.61421282104675e-06,9.03959179786182e-05
"2","02",7.40648845421031e-05,0,5.55486634065773e-06,5.55486634065773e-06,5.55486634065773e-06,3.70324422710516e-06,0.000175904100787495,0.000125910303721575,0.000268485206465124,0,0,8.88778614505237e-05,2.77743317032887e-05,2.59227095897361e-05,1.2961354794868e-05,3.70324422710516e-05,1.48129769084206e-05,4.82278551761645e-05,4.44389307252619e-05,0.000133316792175786,3.14775759303938e-05,4.44389307252619e-05,0.000211084920944994,0.00141463929475417,4.07356864981567e-05,0.000822120218417345,0.000322182247758149,7.40648845421031e-06,7.59165066556557e-05,9.25811056776289e-06,6.48067739743402e-05,1.85162211355258e-06,7.03616403149979e-05
"3","03",8.44419985382799e-05,0,8.7353791591324e-06,8.7353791591324e-06,8.7353791591324e-06,5.82358610608827e-06,0.000273708546986149,0.000200913720660045,0.000358150545524429,0,0,6.4059447166971e-05,2.91179305304413e-05,2.91179305304413e-05,1.45589652652207e-05,3.20297235834855e-05,1.16471722121765e-05,5.09476767733324e-05,1.16471722121765e-05,0.000131030687386986,1.74707583182648e-05,4.65886888487062e-05,0.000195090134553957,0.00124915921975593,8.44419985382799e-05,0.000495004819017503,0.000430945371850532,1.16471722121765e-05,7.27948263261034e-05,2.62061374773972e-05,5.53240680078386e-05,0,7.27948263261034e-05
"4","04",0.000179105215049779,0,6.17604189826824e-06,1.23520837965365e-05,6.17604189826824e-06,6.17604189826824e-06,0.000333506262506485,0.000253217717828998,0.0005249635613528,0,0,2.4704167593073e-05,5.55843770844141e-05,8.64645865757553e-05,1.23520837965365e-05,6.17604189826824e-06,1.85281256948047e-05,5.10270720542441e-05,6.17604189826824e-06,0.000129696879863633,3.08802094913412e-05,5.55843770844141e-05,0.000222337508337657,0.00138343338521209,0.000172929173151511,0.00041997084908224,0.000469379184268386,0,7.41125027792189e-05,1.85281256948047e-05,7.41125027792189e-05,1.85281256948047e-05,0.000135872921761901
"5","05",0.000157956332253965,0,7.17983328427114e-06,7.17983328427114e-06,7.17983328427114e-06,7.17983328427114e-06,0.000323092497792201,0.00031591266450793,0.00063182532901586,0,0,7.17983328427114e-05,5.0258832989898e-05,0.000143596665685423,2.87193331370846e-05,3.58991664213557e-05,2.15394998528134e-05,5.32491271217139e-05,1.43596665685423e-05,0.000107697499264067,3.58991664213557e-05,3.58991664213557e-05,0.000179495832106778,0.00265653831518032,0.000330272331076472,0.00106261532607213,0.000703623661858572,7.17983328427114e-06,0.000136416832401152,2.15394998528134e-05,7.17983328427114e-05,8.61579994112536e-05,0.000236934498380948
"6","06",3.70106155698108e-05,0,1.85053077849054e-06,5.55159233547162e-06,2.77579616773581e-06,3.70106155698108e-06,0.000127686623715847,5.73664541332068e-05,0.00105572780912885,2.77579616773581e-06,3.70106155698108e-06,3.70106155698108e-05,2.96084924558486e-05,3.4234819402075e-05,7.40212311396216e-06,1.57295116171696e-05,1.0177919281698e-05,3.20512237724455e-05,2.77579616773581e-05,8.97507427567912e-05,2.03558385633959e-05,4.16369425160372e-05,0.000151743523836224,0.000486689594743012,5.45906579654709e-05,0.000210035243358676,0.000137864542997545,9.2526538924527e-07,2.68326962881128e-05,1.75800423956601e-05,9.2526538924527e-06,2.77579616773581e-06,2.68326962881128e-05
"7","07",0.000109245612228017,0,3.12130320651478e-06,9.36390961954435e-06,6.24260641302957e-06,3.12130320651478e-06,0.000230976437282094,0.00028715989499936,0.000405769416846922,0,0,0,5.61834577172661e-05,5.93047609237809e-05,6.24260641302957e-06,2.80917288586331e-05,1.24852128260591e-05,5.33433318776681e-05,9.36390961954435e-05,0.000127973431467106,2.80917288586331e-05,4.05769416846922e-05,0.000196642102010431,0.0012453999793994,7.178997374984e-05,0.000511893725868425,0.000477559390596762,0,4.99408513042365e-05,3.12130320651478e-06,4.99408513042365e-05,3.12130320651478e-06,7.80325801628696e-05
"8","08",0.000124596396672208,0,3.55989704777738e-06,7.11979409555476e-06,3.55989704777738e-06,3.55989704777738e-06,0.000206474028771088,0.000113916705528876,0.000416507954589953,0,1.06796911433321e-05,8.18776320988797e-05,3.20390734299964e-05,3.55989704777738e-05,1.06796911433321e-05,8.18776320988797e-05,1.42395881911095e-05,3.16392177650092e-05,4.62786616211059e-05,0.000142395881911095,1.77994852388869e-05,4.27187645733285e-05,0.000202914131723311,0.00121748479033986,4.62786616211059e-05,0.000711979409555476,0.000291911557917745,0,7.11979409555476e-05,1.06796911433321e-05,3.20390734299964e-05,3.55989704777738e-06,4.98385586688833e-05
"9","09",0.00013098949464253,0,6.54947473212648e-06,1.3098949464253e-05,6.54947473212648e-06,6.54947473212648e-06,0.000412616908123968,0.000235781090356553,0.000340572686070577,0,0,7.85936967855178e-05,2.61978989285059e-05,5.23957978570119e-05,0,2.61978989285059e-05,1.96484241963794e-05,2.71587718127029e-05,7.20442220533913e-05,0.000124440019910403,3.92968483927589e-05,3.27473736606324e-05,0.000203033716695921,0.00191244662178093,0.000176835817767415,0.000772838018390925,0.000720442220533913,6.54947473212648e-06,7.85936967855178e-05,1.3098949464253e-05,5.23957978570119e-05,0,9.16926462497708e-05
"10","10",9.13298606241091e-05,0,3.26178073657533e-06,3.26178073657533e-06,3.26178073657533e-06,3.26178073657533e-06,0.000150041913882465,8.15445184143831e-05,0.000260942458926026,0,0,1.63089036828766e-05,3.58795881023286e-05,1.9570684419452e-05,1.63089036828766e-05,5.54502725217805e-05,9.78534220972598e-06,4.26619853853445e-05,0,0.000110900545043561,2.93560266291779e-05,3.58795881023286e-05,0.000176136159775068,0.000779565596041503,3.91413688389039e-05,0.000156565475355616,0.000450125741647395,0,6.52356147315065e-05,9.78534220972598e-06,2.93560266291779e-05,3.26178073657533e-06,2.60942458926026e-05
